subject,fold,opt_params,div_steep,div_pos,ecavs,eclvs,lcavs,lclvs,train_loss,test_loss
S3,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.9529524477981453,2.3977202588846174
S3,0,2,10.0000000001,0.0,1e-10,0.0,0.22193401388718717,1.2970353579006335,0.2927674338851448,0.603896661599106
S3,0,4,0.5,0.4613910205025437,0.0,0.0,0.4193171552291107,2.3399128775038855,0.14238015535829102,0.44731802941167603
S3,0,6,0.5,0.615951155278101,0.09036810280548316,1.2514228128834874,0.7316006362917421,2.5051067144228476,0.12334462620310996,0.47344012797913004
S3,1,0,10.0,0.0,0.0,0.0,0.0,0.0,2.3977202588846174,0.9529524477981453
S3,1,2,10.0000000001,0.0,1e-10,1e-10,0.23731312963698686,1.3248222353041306,0.437822935682049,0.3366016451385553
S3,1,4,0.5,0.3016200588122343,1e-10,0.0,0.31411485410247736,1.6996869187990702,0.30435474953356184,0.20592304048738366
S3,1,6,0.5,0.42240723894677823,0.10132419581182739,1.558965931807736,0.39618037110594234,1.7657354593065657,0.2787073906102364,0.1692049588586164
S3,2,0,10.0,0.0,0.0,0.0,0.0,0.0,2.076953045653941,0.9231012251426544
S3,2,2,10.0,1e-10,1e-10,1e-10,0.21295226772897255,1.3315128098709956,0.7091639730862918,0.2162081081866262
S3,2,4,0.5,0.5004262695956339,1e-10,0.0,0.5170227480000268,2.629117368209348,0.3414932635111607,0.2903570635188773
S3,2,6,0.5,0.6951047629728248,0.18258457635666653,1.2581985312410036,1.3239032270673095,3.2196971451346137,0.24291174394247073,0.4887016658345259
S3,3,0,10.0,0.0,0.0,0.0,0.0,0.0,0.9231012251426544,2.076953045653941
S3,3,2,10.0000000001,0.0,1e-10,1e-10,0.18189439366288399,1.3043461616587433,0.18417470717871456,0.665676843493096
S3,3,4,0.5,0.2670771810843675,1e-10,0.0,0.23272136131805501,1.5882430238218994,0.15685623606707408,0.49062793902961255
S3,3,6,0.9450155540977927,0.47184852941586436,0.14845490049067633,1.5056000944261263,0.30932949246160585,1.750747275688769,0.1265042073102497,0.4368642372730104
S3,4,0,10.0,0.0,0.0,0.0,0.0,0.0,1.2988220119841671,1.672097573886877
S3,4,2,10.0,1e-10,1e-10,1e-10,0.23035380592170954,1.3642875115997712,0.26495026097213314,0.46208684078987317
S3,4,4,0.5,0.3501811422166603,1e-10,1e-10,0.3363352352781235,1.9463581404208112,0.14957020540691637,0.31633471373331423
S3,4,6,0.5,0.46369913095264415,0.04894070547978981,1.4941637191877313,0.43584999002509506,2.2134503962312126,0.13021167344220907,0.25750399288106945
S3,5,0,10.0,0.0,0.0,0.0,0.0,0.0,1.672097573886877,1.2988220119841671
S3,5,2,10.0,1e-10,1e-10,1e-10,0.2282337261636937,1.2752205582838463,0.5058826864400697,0.2361342709769097
S3,5,4,0.5,0.47647533958435845,1e-10,0.0,0.4810991262984172,2.341646806875078,0.29262942447396656,0.24525638362423133
S3,5,6,0.6227356506797864,0.5212920123639969,0.0,1.4207807322285515,0.557983205210691,2.058763064478365,0.22585537307663928,0.18247085116017803
S3,6,0,10.0,0.0,0.0,0.0,0.0,0.0,1.468802897328291,1.315505951994862
S3,6,2,10.0000000001,0.0,0.0,0.0,0.2801111254873961,1.424447893103605,0.34351550812915493,0.7216090240798083
S3,6,4,0.5,0.36976936913918884,1e-10,1e-10,0.4270130746790248,2.070002214904301,0.19540890761555305,0.6852498013624044
S3,6,6,0.5,0.6006456236674128,0.27205592442680143,1.3442533347618684,0.8138340683607298,2.7094868374950645,0.1564643644644879,0.7687727450732452
S3,7,0,10.0,0.0,0.0,0.0,0.0,0.0,1.315505951994862,1.468802897328291
S3,7,2,10.0,0.0,0.0,0.0,0.17200779589899617,1.3387430605353454,0.37380462229287487,0.35263752429247386
S3,7,4,0.5,0.3686458353880957,0.0,0.0,0.2842910249519124,1.8830773921745354,0.26116064669829864,0.23635696093524167
S3,7,6,1.4923203000200003,0.42541357058293805,0.0,1.4930544360942462,0.27019580855452957,1.5681384387394282,0.19007020422427093,0.28335429735449374
S3,8,0,10.0,0.0,0.0,0.0,0.0,0.0,2.1910419504144647,1.2621166983750594
S3,8,2,10.00000000018747,1.6360034305522463e-10,1e-10,1e-10,0.19696300683451323,1.4917827296246124,0.7846986740764046,0.43439630938384854
S3,8,4,0.5,0.42218881372752265,1e-10,0.0,0.35390709144876403,2.435753574612617,0.6136643001215298,0.2840368213823
S3,8,6,0.6311403022102557,0.5875210493747816,0.044974502018121844,1.6942056379174515,0.7275677402308973,2.5264858818988905,0.4382664786766157,0.4028256445591686
S3,9,0,10.0,0.0,0.0,0.0,0.0,0.0,1.2621166983750594,2.1910419504144647
S3,9,2,10.0,0.0,1e-10,1e-10,0.25834097320335553,1.2459531635490737,0.3672671719633644,0.7968115574201375
S3,9,4,1.898063315126568,0.33481465960882917,1e-10,1e-10,0.29334911570937056,1.375073160953956,0.19668879790632982,0.8951484428227345
S3,9,6,1.885120474769391,0.3349464250310219,0.04635957223058944,0.4598071736714097,0.2937371107447217,1.3749890200450032,0.1927244213377036,0.9013681738727297
